year,per_capita_personal_income,state
2002,38035,MD
2002,39540,MA
2002,30602,MI
2002,33955,MN
2002,23219,MS
2002,29168,MO
2002,24554,MT
2002,30599,NE
2002,32130,NV
2002,36974,NH
2002,40474,NJ
2002,25255,NM
2002,37088,NY
2002,27852,NC
2002,27218,ND
2002,29693,OH
2002,26023,OK
2002,28749,OR
2002,32133,PA
2002,32807,RI
2002,26182,SC
2002,27572,SD
2002,28113,TN
2002,29524,TX
2002,25190,UT
2002,31217,VT
2002,34498,VA
2002,33212,WA
2002,24517,WV
2002,31425,WI
2002,31854,WY
2002,38787,
2002,36620,
2002,31343,
2002,30355,
2002,28678,
2002,28542,
2002,29964,
2002,33472,
2003,32717,
2003,26673,AL
2003,35996,
2003,28393,AZ
2003,25595,AR
2003,35272,CA
2003,34856,CO
2003,44997,CT
2003,38065,DE
2003,46011,DC
2003,31785,FL
2003,30896,GA
2003,32467,
2003,26728,ID
2003,35212,IL
2003,29521,IN
2003,29383,IA
2003,30074,KS
2003,26687,KY
2003,27022,LA
2003,30805,ME
2003,39394,MD
2003,40267,MA
2003,31279,MI
2003,35293,MN
2003,24064,MS
2003,30085,MO
2003,26125,MT
2003,32348,NE
2003,33121,NV
2003,37371,NH
2003,41198,NJ
2003,26097,NM
2003,37576,NY
2003,28715,NC
2003,29678,ND
2003,30509,OH
2003,27198,OK
2003,29526,OR
2003,33170,PA
2003,34301,RI
2003,26832,SC
2003,29972,SD
2003,29098,TN
2003,30224,TX
2003,25792,UT
2003,32338,VT
2003,36188,VA
2003,34253,WA
2003,24823,WV
2003,32148,WI
2003,33686,WY
2003,39500,
2003,37402,
2003,32032,
2003,31506,
2003,29638,
2003,29360,
2003,30609,
2003,34569,
2004,34280,
2004,28434,AL
2004,37016,
2004,30221,AZ
2004,27059,AR
2004,37070,CA
2004,35819,CO
2004,47238,CT
2004,38974,DE
2004,50088,DC
2004,33778,FL
2004,32034,GA
2004,34277,
2004,28317,ID
2004,36519,IL
2004,30791,IN
2004,31704,IA
2004,30843,KS
2004,28087,KY
2004,28065,LA
2004,32211,ME
2004,41641,MD
2004,42407,MA
2004,32168,MI
2004,37211,MN
2004,25306,MS
2004,31510,MO
2004,28131,MT
2004,33627,NE
2004,35232,NV
2004,39434,NH
2004,42876,NJ
2004,27399,NM
2004,39329,NY
2004,30635,NC
2004,30107,ND
2004,31660,OH
2004,29264,OK
2004,30996,OR
2004,34984,PA
2004,35927,RI
2004,27986,SC
2004,32025,SD
2004,30472,TN
2004,31195,TX
2004,27018,UT
2004,34087,VT
2004,38139,VA
2004,36378,WA
2004,25687,WV
2004,33424,WI
2004,36065,WY
2004,41530,
2004,39230,
2004,33200,
2004,33082,
2004,31245,
2004,30611,
2004,31883,
2004,36387,
2005,35868,
2005,29949,AL
2005,39075,
2005,32327,AZ
2005,28227,AR
2005,38932,CA
2005,37797,CO
2005,49738,CT
2005,39370,DE
2005,52947,DC
2005,35999,FL
2005,33445,GA
2005,36375,
2005,29392,ID
2005,37975,IL
2005,31566,IN
2005,32621,IA
2005,32545,KS
2005,29241,KY
2005,30139,LA
2005,32925,ME
2005,43515,MD
2005,44371,MA
2005,32946,MI
2005,38065,MN
2005,26835,MS
2005,32467,MO
2005,30074,MT
2005,34666,NE
2005,38109,NV
2005,40619,NH
2005,44467,NJ
2005,28858,NM
2005,40884,NY
2005,32345,NC
2005,31967,ND
2005,32607,OH
2005,31856,OK
2005,32296,OR
2005,36410,PA
2005,36984,RI
2005,29285,SC
2005,33788,SD
2005,31548,TN
2005,33276,TX
2005,28927,UT
2005,34878,VT
2005,40167,VA
2005,37384,WA
2005,26981,WV
2005,34447,WI
2005,39385,WY
2005,43321,
2005,40790,
2005,34234,
2005,34179,
2005,32954,
2005,32715,
2005,33761,
2005,38156,
2006,38120,
2006,31474,AL
2006,41157,
2006,34703,AZ
2006,29617,AR
2006,41746,CA
2006,40137,CO
2006,53696,CT
2006,41053,DE
2006,55805,DC
2006,38386,FL
2006,34791,GA
2006,38480,
2006,31476,ID
2006,40365,IL
2006,33123,IN
