state,year,education_level,median_income
Illinois,2008,Regular high school diploma,2002286
Illinois,2009,Regular high school diploma,2007000
Illinois,2010,Regular high school diploma,2035135
Illinois,2011,Regular high school diploma,2054602
Illinois,2012,Regular high school diploma,2006099
Illinois,2013,Regular high school diploma,2007048
Illinois,2014,Regular high school diploma,1985764
Illinois,2015,Regular high school diploma,2004321
Illinois,2016,Regular high school diploma,1942508
Illinois,2017,Regular high school diploma,1956954
Illinois,2018,Regular high school diploma,1954212
Illinois,2019,Regular high school diploma,1935552
Indiana,2008,Regular high school diploma,1265984
Indiana,2009,Regular high school diploma,1277886
Indiana,2010,Regular high school diploma,1314266
Indiana,2011,Regular high school diploma,1301470
Indiana,2012,Regular high school diploma,1288444
Indiana,2013,Regular high school diploma,1256522
Indiana,2014,Regular high school diploma,1263948
Indiana,2015,Regular high school diploma,1274406
Indiana,2016,Regular high school diploma,1250854
Indiana,2017,Regular high school diploma,1216294
Indiana,2018,Regular high school diploma,1255109
Indiana,2019,Regular high school diploma,1286464
Iowa,2008,Regular high school diploma,583832
Iowa,2009,Regular high school diploma,577249
Iowa,2010,Regular high school diploma,599922
Iowa,2011,Regular high school diploma,589057
Iowa,2012,Regular high school diploma,578840
Iowa,2013,Regular high school diploma,583114
Iowa,2014,Regular high school diploma,571438
Iowa,2015,Regular high school diploma,578730
Iowa,2016,Regular high school diploma,569965
Iowa,2017,Regular high school diploma,554936
Iowa,2018,Regular high school diploma,566515
Iowa,2019,Regular high school diploma,575335
Kansas,2008,Regular high school diploma,430062
Kansas,2009,Regular high school diploma,436251
Kansas,2010,Regular high school diploma,435178
Kansas,2011,Regular high school diploma,431469
Kansas,2012,Regular high school diploma,432186
Kansas,2013,Regular high school diploma,416030
Kansas,2014,Regular high school diploma,419478
Kansas,2015,Regular high school diploma,422313
Kansas,2016,Regular high school diploma,419534
Kansas,2017,Regular high school diploma,418378
Kansas,2018,Regular high school diploma,407584
Kansas,2019,Regular high school diploma,424095
Kentucky,2008,Regular high school diploma,789599
Kentucky,2009,Regular high school diploma,777372
Kentucky,2010,Regular high school diploma,802733
Kentucky,2011,Regular high school diploma,784978
Kentucky,2012,Regular high school diploma,800468
Kentucky,2013,Regular high school diploma,779831
Kentucky,2014,Regular high school diploma,789610
Kentucky,2015,Regular high school diploma,799916
Kentucky,2016,Regular high school diploma,769421
Kentucky,2017,Regular high school diploma,794365
Kentucky,2018,Regular high school diploma,788407
Kentucky,2019,Regular high school diploma,814916
Louisiana,2008,Regular high school diploma,838376
Louisiana,2009,Regular high school diploma,847531
Louisiana,2010,Regular high school diploma,854229
Louisiana,2011,Regular high school diploma,864302
Louisiana,2012,Regular high school diploma,869245
Louisiana,2013,Regular high school diploma,863613
Louisiana,2014,Regular high school diploma,876986
Louisiana,2015,Regular high school diploma,884714
Louisiana,2016,Regular high school diploma,891304
Louisiana,2017,Regular high school diploma,896962
Louisiana,2018,Regular high school diploma,903233
Louisiana,2019,Regular high school diploma,893425
Maine,2008,Regular high school diploma,280291
Maine,2009,Regular high school diploma,268297
Maine,2010,Regular high school diploma,274840
Maine,2011,Regular high school diploma,267962
Maine,2012,Regular high school diploma,278442
Maine,2013,Regular high school diploma,268512
Maine,2014,Regular high school diploma,263085
Maine,2015,Regular high school diploma,265076
Maine,2016,Regular high school diploma,272769
Maine,2017,Regular high school diploma,252708
Maine,2018,Regular high school diploma,258061
Maine,2019,Regular high school diploma,264179
Maryland,2008,Regular high school diploma,861570
Maryland,2009,Regular high school diploma,898333
Maryland,2010,Regular high school diploma,891737
Maryland,2011,Regular high school diploma,901390
Maryland,2012,Regular high school diploma,918055
Maryland,2013,Regular high school diploma,902742
Maryland,2014,Regular high school diploma,917417
Maryland,2015,Regular high school diploma,901946
Maryland,2016,Regular high school diploma,914616
Maryland,2017,Regular high school diploma,891835
Maryland,2018,Regular high school diploma,878231
Maryland,2019,Regular high school diploma,903664
Massachusetts,2008,Regular high school diploma,1043266
Massachusetts,2009,Regular high school diploma,1053369
Massachusetts,2010,Regular high school diploma,1036523
Massachusetts,2011,Regular high school diploma,1036573
Massachusetts,2012,Regular high school diploma,1048250
Massachusetts,2013,Regular high school diploma,1053415
Massachusetts,2014,Regular high school diploma,1027761
Massachusetts,2015,Regular high school diploma,1051158
Massachusetts,2016,Regular high school diploma,1023967
Massachusetts,2017,Regular high school diploma,1033358
Massachusetts,2018,Regular high school diploma,995993
Massachusetts,2019,Regular high school diploma,1015844
Michigan,2008,Regular high school diploma,1793375
Michigan,2009,Regular high school diploma,1797817
Michigan,2010,Regular high school diploma,1770917
Michigan,2011,Regular high school diploma,1766599
Michigan,2012,Regular high school diploma,1758949
Michigan,2013,Regular high school diploma,1705953
Michigan,2014,Regular high school diploma,1709421
Michigan,2015,Regular high school diploma,1704085
Michigan,2016,Regular high school diploma,1702082
Michigan,2017,Regular high school diploma,1705561
Michigan,2018,Regular high school diploma,1695003
Michigan,2019,Regular high school diploma,1732283
Minnesota,2008,Regular high school diploma,843296
Minnesota,2009,Regular high school diploma,861902
Minnesota,2010,Regular high school diploma,852174
Minnesota,2011,Regular high school diploma,849563
Minnesota,2012,Regular high school diploma,840396
Minnesota,2013,Regular high school diploma,841327
Minnesota,2014,Regular high school diploma,827997
Minnesota,2015,Regular high school diploma,823342
Minnesota,2016,Regular high school diploma,821200
Minnesota,2017,Regular high school diploma,821473
Minnesota,2018,Regular high school diploma,805258
Minnesota,2019,Regular high school diploma,824041
Mississippi,2008,Regular high school diploma,455205
Mississippi,2009,Regular high school diploma,460788
Mississippi,2010,Regular high school diploma,474655
Mississippi,2011,Regular high school diploma,471391
Mississippi,2012,Regular high school diploma,462900
Mississippi,2013,Regular high school diploma,478850
Mississippi,2014,Regular high school diploma,466649
Mississippi,2015,Regular high school diploma,478161
Mississippi,2016,Regular high school diploma,477515
Mississippi,2017,Regular high school diploma,474462
Mississippi,2018,Regular high school diploma,475011
Mississippi,2019,Regular high school diploma,470174
Missouri,2008,Regular high school diploma,1070280
Missouri,2009,Regular high school diploma,1079458
Missouri,2010,Regular high school diploma,1086599
Missouri,2011,Regular high school diploma,1079432
Missouri,2012,Regular high school diploma,1086729
Missouri,2013,Regular high school diploma,1081768
Missouri,2014,Regular high school diploma,1083421
Missouri,2015,Regular high school diploma,1081298
Missouri,2016,Regular high school diploma,1083372
Missouri,2017,Regular high school diploma,1085755
Missouri,2018,Regular high school diploma,1080418
Missouri,2019,Regular high school diploma,1108345
Montana,2008,Regular high school diploma,167663
Montana,2009,Regular high school diploma,172150
Montana,2010,Regular high school diploma,172340
Montana,2011,Regular high school diploma,171737
Montana,2012,Regular high school diploma,167970
Montana,2013,Regular high school diploma,171036
Montana,2014,Regular high school diploma,179135
Montana,2015,Regular high school diploma,191118
Montana,2016,Regular high school diploma,172231
Montana,2017,Regular high school diploma,169931
Montana,2018,Regular high school diploma,170480
Montana,2019,Regular high school diploma,175333
Nebraska,2008,Regular high school diploma,299334
Nebraska,2009,Regular high school diploma,290089
Nebraska,2010,Regular high school diploma,294198
Nebraska,2011,Regular high school diploma,308346
Nebraska,2012,Regular high school diploma,292831
Nebraska,2013,Regular high school diploma,288248
Nebraska,2014,Regular high school diploma,288812
Nebraska,2015,Regular high school diploma,289281
Nebraska,2016,Regular high school diploma,286360
Nebraska,2017,Regular high school diploma,287016
Nebraska,2018,Regular high school diploma,283093
Nebraska,2019,Regular high school diploma,282195
Nevada,2008,Regular high school diploma,426949
Nevada,2009,Regular high school diploma,436008
Nevada,2010,Regular high school diploma,465362
Nevada,2011,Regular high school diploma,456962
Nevada,2012,Regular high school diploma,457175
Nevada,2013,Regular high school diploma,455188
Nevada,2014,Regular high school diploma,462876
