sa,geo,year,naics_sector,Business Applications,Business Applications from Corporations,Business Formations within Eight Quarters,Business Formations within Four Quarters,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages
A,MI,2008,Total for All NAICS,76997.0,16080.0,8339.0,7265.0,33985.0
A,MI,2009,Total for All NAICS,73993.0,14885.0,7784.0,6617.0,31601.0
A,MI,2010,Total for All NAICS,76492.0,13873.0,7959.0,6830.0,31375.0
A,MI,2011,Total for All NAICS,76023.0,13043.0,7876.0,6724.0,31107.0
A,MI,2012,Total for All NAICS,74902.0,12178.0,7626.0,6482.0,29830.0
A,MI,2013,Total for All NAICS,73037.0,11292.0,7805.0,6560.0,28845.0
A,MI,2014,Total for All NAICS,73268.0,11363.0,7827.0,6509.0,28312.0
A,MI,2015,Total for All NAICS,75333.0,10980.0,7766.0,6477.0,28353.0
A,MI,2016,Total for All NAICS,79924.0,10551.0,7646.0,6216.0,29086.0
A,MI,2017,Total for All NAICS,84976.0,10099.0,7798.0,6385.0,29096.0
A,MI,2018,Total for All NAICS,94522.0,10178.0,,6470.0,31067.0
A,MI,2019,Total for All NAICS,94788.0,9058.0,,,29984.0
A,MI,2020,Total for All NAICS,132931.0,9306.0,,,37518.0
A,MI,2021,Total for All NAICS,150821.0,9613.0,,,43323.0
A,MN,2005,Total for All NAICS,40013.0,13207.0,8717.0,7725.0,22902.0
A,MN,2006,Total for All NAICS,40089.0,12454.0,7450.0,6623.0,22788.0
A,MN,2007,Total for All NAICS,40710.0,11556.0,6864.0,6107.0,22101.0
A,MN,2008,Total for All NAICS,39024.0,9151.0,5689.0,5013.0,18506.0
A,MN,2009,Total for All NAICS,44366.0,9152.0,5642.0,4761.0,18893.0
A,MN,2010,Total for All NAICS,40000.0,7295.0,5160.0,4420.0,16673.0
A,MN,2011,Total for All NAICS,39083.0,6723.0,4975.0,4218.0,16410.0
A,MN,2012,Total for All NAICS,39945.0,6435.0,5123.0,4381.0,16138.0
A,MN,2013,Total for All NAICS,39268.0,6186.0,5186.0,4409.0,15716.0
A,MN,2014,Total for All NAICS,38951.0,6139.0,5187.0,4363.0,15516.0
A,MN,2015,Total for All NAICS,39781.0,6045.0,5436.0,4563.0,15370.0
A,MN,2016,Total for All NAICS,40294.0,5838.0,5263.0,4396.0,15461.0
A,MN,2017,Total for All NAICS,43650.0,5941.0,5271.0,4338.0,15833.0
