state,year,households_occupied_ratio
AK,2005,0.8505210650292073
AK,2006,0.8311146462272678
AK,2007,0.8375674440519926
AK,2008,0.8384067917417952
AK,2009,0.8333961499850296
AK,2010,0.829172976405647
AK,2011,0.8269437178242958
AK,2012,0.8180367196744119
AK,2013,0.800264786918095
AK,2014,0.8090812163165041
AK,2015,0.808474954193367
AK,2016,0.7997759695112531
AK,2017,0.7910609272860352
AK,2018,0.79958976227572
AK,2019,0.788449574354341
AL,2005,0.859064231992085
AL,2006,0.8511562508441387
AL,2007,0.8499311187770588
AL,2008,0.8411876265812817
AL,2009,0.846813859137685
AL,2010,0.8347721791661991
AL,2011,0.8452693819399606
AL,2012,0.8427095402881026
AL,2013,0.8321536675118617
AL,2014,0.8338731810709094
AL,2015,0.832310444822396
AL,2016,0.8306585118689971
AL,2017,0.8153762237848928
AL,2018,0.8155690986679187
AL,2019,0.8304773642163715
AR,2005,0.870649323201368
AR,2006,0.8664986693449911
AR,2007,0.856511054220985
AR,2008,0.8581586780220863
AR,2009,0.858841097749883
AR,2010,0.846021225996306
AR,2011,0.8513746242839594
AR,2012,0.8611936983568296
AR,2013,0.8466825640690131
AR,2014,0.8435642589821196
AR,2015,0.8494098388391791
AR,2016,0.8434581905386843
AR,2017,0.8415987341153149
AR,2018,0.8376163781644755
AR,2019,0.8376629313131182
AZ,2005,0.8660829155542702
AZ,2006,0.8540924611194601
AZ,2007,0.8440501583850349
AZ,2008,0.8351386411783546
AZ,2009,0.827030949936053
AZ,2010,0.8199033420005635
AZ,2011,0.8225415101453728
AZ,2012,0.8330766717998973
AZ,2013,0.8300522168928546
AZ,2014,0.8348100735013075
AZ,2015,0.8408543981526526
AZ,2016,0.8507045944529397
AZ,2017,0.8512219152869863
AZ,2018,0.861127269589071
AZ,2019,0.8681402240797282
CA,2005,0.9313771214266808
CA,2006,0.9223096004404172
CA,2007,0.916743740281267
CA,2008,0.9091107956664342
CA,2009,0.9092156283465519
CA,2010,0.9067088183155477
CA,2011,0.9087218911891515
CA,2012,0.9157045233592719
CA,2013,0.9172903828525627
CA,2014,0.9177830973915653
CA,2015,0.9219323097661141
CA,2016,0.9205485238819106
CA,2017,0.9173202598243526
CA,2018,0.9155514615733569
CA,2019,0.9158392155585309
CO,2005,0.8859616652818216
CO,2006,0.8815183022429465
CO,2007,0.8743074743414132
CO,2008,0.8818427748586978
CO,2009,0.8811034816149439
CO,2010,0.8854349665938358
CO,2011,0.8879501191417479
CO,2012,0.8948916314284997
CO,2013,0.8912063457736448
CO,2014,0.8960198218145395
CO,2015,0.8984951856160047
CO,2016,0.9016099934163838
CO,2017,0.8967560191909855
CO,2018,0.8979546459592893
CO,2019,0.9070633644859054
CT,2005,0.9300906387286831
CT,2006,0.9254271251527317
CT,2007,0.918088238974299
CT,2008,0.921086729970787
CT,2009,0.9173414762352681
CT,2010,0.9130461660445567
CT,2011,0.9046887570764409
CT,2012,0.9125068380284435
CT,2013,0.9003999806460977
CT,2014,0.9077316233181935
CT,2015,0.8981635714171128
CT,2016,0.9053620563721321
CT,2017,0.8940800463922451
CT,2018,0.9059694712393409
CT,2019,0.9030839517652606
DC,2005,0.8935757357573576
DC,2006,0.8853163662071404
DC,2007,0.8832093162348057
DC,2008,0.876063119605555
DC,2009,0.8741636391690396
DC,2010,0.8502607500437952
DC,2011,0.8988384385831092
DC,2012,0.8881420963406795
DC,2013,0.8966119316775312
DC,2014,0.9059193164894311
