sa,naics_sector,series,geo,year,annual_total
U,Administrative and Support,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,79503.0
U,Educational Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,14241.0
U,Health Care and Social Assistance,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,209641.0
U,Arts and Entertainment,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,29066.0
U,Accommodation and Food Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,306164.0
U,Other Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,86466.0
U,No NAICS Assigned,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,21082.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,1770839.0
A,Agriculture,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,10869.0
A,Mining,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,1432.0
A,Utilities,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,889.0
A,Construction,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,257330.0
A,Manufacturing,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,31252.0
A,Wholesale Trade,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,33211.0
A,Retail Trade,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,211145.0
A,Transportation and Warehousing,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,122728.0
A,Information,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,22265.0
A,Finance and Insurance,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,65615.0
A,Real Estate,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,48894.0
A,Professional Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,203365.0
A,Management of Companies,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,11086.0
A,Administrative and Support,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,80015.0
A,Educational Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,14271.0
A,Health Care and Social Assistance,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,210978.0
A,Arts and Entertainment,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,29257.0
A,Accommodation and Food Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,307668.0
A,Other Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,86582.0
A,No NAICS Assigned,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,21985.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,NO,2021,280537.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,NO,2021,282378.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,MW,2021,284296.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,MW,2021,284626.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,SO,2021,778893.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,SO,2021,783476.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,WE,2021,418251.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,WE,2021,420359.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AL,2021,20706.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AL,2021,20814.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AK,2021,2842.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AK,2021,2857.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AZ,2021,33941.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AZ,2021,34236.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AR,2021,13012.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,AR,2021,13095.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CA,2021,218436.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CA,2021,219165.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CO,2021,38342.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CO,2021,38653.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CT,2021,13404.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,CT,2021,13470.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,DE,2021,14033.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,DE,2021,14119.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,DC,2021,4642.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,DC,2021,4709.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,FL,2021,223174.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,FL,2021,224619.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,GA,2021,88429.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,GA,2021,88533.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,HI,2021,6173.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,HI,2021,6231.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,ID,2021,9825.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,ID,2021,9861.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IL,2021,71421.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IL,2021,71398.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IN,2021,26573.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IN,2021,26458.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IA,2021,9303.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,IA,2021,9334.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,KS,2021,10354.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,KS,2021,10433.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,KY,2021,14234.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,KY,2021,14393.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,LA,2021,26359.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,LA,2021,26412.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,ME,2021,5091.0
A,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,ME,2021,5127.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,MD,2021,33022.0
