state,start_year,per_pupil_revenue
AZ,2012,8616
AR,2012,10391
CA,2012,10481
CO,2012,10312
CT,2012,19149
DE,2012,14799
DC,2012,27508
FL,2012,9103
GA,2012,10270
HI,2012,12621
ID,2012,7386
IL,2012,12972
IN,2012,11416
IA,2012,12070
KS,2012,11996
KY,2012,10393
LA,2012,11872
ME,2012,13917
MD,2012,16054
MA,2012,17215
MI,2012,11979
MN,2012,13267
MS,2012,8903
MO,2012,11234
MT,2012,11601
NE,2012,12523
NV,2012,9290
NH,2012,15216
NJ,2012,19740
NM,2012,10925
NY,2012,21768
NC,2012,8632
ND,2012,13396
OH,2012,13070
OK,2012,8780
OR,2012,10484
PA,2012,15562
RI,2012,16401
SC,2012,11433
SD,2012,10142
TN,2012,9144
TX,2012,9858
UT,2012,7925
VT,2012,18313
VA,2012,11938
WA,2012,11546
WV,2012,12519
WI,2012,12390
WY,2012,18622
AL,2011,9534
AK,2011,19034
AZ,2011,8613
AR,2011,10939
CA,2011,10590
CO,2011,10183
CT,2011,18532
DE,2011,14514
DC,2011,28055
FL,2011,8991
GA,2011,10457
HI,2011,13875
ID,2011,7369
IL,2011,14005
IN,2011,11473
IA,2011,12179
KS,2011,11924
KY,2011,10391
LA,2011,11959
ME,2011,13527
MD,2011,16093
MA,2011,16610
MI,2011,11917
MN,2011,13087
MS,2011,9052
MO,2011,11152
MT,2011,11400
NE,2011,13103
NV,2011,9412
NH,2011,14928
NJ,2011,19603
NM,2011,10710
NY,2011,21683
NC,2011,8696
ND,2011,13281
OH,2011,13153
OK,2011,8801
OR,2011,10863
PA,2011,15134
RI,2011,15947
SC,2011,11058
SD,2011,10179
TN,2011,8983
TX,2011,9906
UT,2011,7871
VT,2011,18288
VA,2011,11654
WA,2011,11330
WV,2011,12573
WI,2011,12593
WY,2011,18527
AL,2010,9776
AK,2010,18699
AZ,2010,9111
AR,2010,10939
CA,2010,10790
CO,2010,10460
CT,2010,17822
DE,2010,13513
DC,2010,27016
FL,2010,9972
GA,2010,10762
HI,2010,13755
ID,2010,7915
IL,2010,13818
IN,2010,11231
IA,2010,11913
KS,2010,11723
KY,2010,10389
LA,2010,11839
ME,2010,13740
MD,2010,15768
MA,2010,16071
MI,2010,12266
MN,2010,13053
MS,2010,9140
MO,2010,11069
MT,2010,11678
NE,2010,13684
NV,2010,9637
NH,2010,14610
NJ,2010,17980
NM,2010,11073
NY,2010,21038
NC,2010,8875
ND,2010,13070
OH,2010,13096
OK,2010,8901
OR,2010,10723
PA,2010,15153
RI,2010,15846
SC,2010,10847
SD,2010,10367
TN,2010,9029
TX,2010,10307
UT,2010,7852
VT,2010,16952
VA,2010,11542
WA,2010,11306
WV,2010,12369
WI,2010,13213
WY,2010,18636
AL,2009,9667
AK,2009,17759
AZ,2009,9343
AR,2009,10738
CA,2009,10239
CO,2009,10635
CT,2009,17546
DE,2009,14070
DC,2009,24785
FL,2009,9891
GA,2009,10695
HI,2009,14234
ID,2009,8044
IL,2009,13434
IN,2009,13034
IA,2009,11266
KS,2009,11564
KY,2009,10106
LA,2009,11891
ME,2009,13950
MD,2009,15738
MA,2009,16269
MI,2009,11765
MN,2009,12710
MS,2009,9023
MO,2009,11065
MT,2009,11398
NE,2009,13034
NV,2009,10048
NH,2009,14254
NJ,2009,18521
NM,2009,11246
NY,2009,20660
NC,2009,8802
ND,2009,13211
OH,2009,12883
OK,2009,8705
OR,2009,10657
PA,2009,14787
RI,2009,15589
SC,2009,10838
SD,2009,10509
TN,2009,8769
TX,2009,10318
UT,2009,7925
VT,2009,17916
VA,2009,11798
WA,2009,11414
WV,2009,12142
WI,2009,12822
WY,2009,19497
AL,2008,9708
AK,2008,17319
AZ,2008,9002
AR,2008,10072
CA,2008,11180
CO,2008,10207
CT,2008,17404
DE,2008,13993
DC,2008,24039
FL,2008,10005
GA,2008,10881
HI,2008,14497
ID,2008,8158
IL,2008,12522
IN,2008,12015
IA,2008,11321
KS,2008,12216
KY,2008,9912
LA,2008,11827
ME,2008,13349
MD,2008,15521
MA,2008,15750
MI,2008,11799
MN,2008,12610
MS,2008,8864
MO,2008,10941
MT,2008,11242
NE,2008,12274
NV,2008,10270
NH,2008,13727
NJ,2008,18340
NM,2008,11568
NY,2008,20272
NC,2008,8950
ND,2008,11638
OH,2008,12292
OK,2008,8882
OR,2008,10680
PA,2008,14440
RI,2008,15358
SC,2008,10727
SD,2008,9823
