year,per_capita_disposable_personal_income,state
2003,31997,VA
2003,31116,WA
2003,22700,WV
2003,28723,WI
2003,30636,WY
2004,26011,AL
2004,34156,AK
2004,27367,AZ
2004,24781,AR
2004,32832,CA
2004,31975,CO
2004,40493,CT
2004,34840,DE
2004,43367,DC
2004,30606,FL
2004,28864,GA
2004,30888,HI
2004,25821,ID
2004,32709,IL
2004,27800,IN
2004,28961,IA
2004,27860,KS
2004,25377,KY
2004,25917,LA
2004,29213,ME
2004,36529,MD
2004,36826,MA
2004,29015,MI
2004,33029,MN
2004,23580,MS
2004,28579,MO
2004,25623,MT
2004,30658,NE
2004,31545,NV
2004,35978,NH
2004,37718,NJ
2004,25124,NM
2004,33899,NY
2004,27583,NC
2004,27807,ND
2004,28232,OH
2004,26693,OK
2004,27522,OR
2004,31446,PA
2004,32182,RI
2004,25488,SC
2004,29826,SD
2004,28219,TN
2004,28690,TX
2004,24468,UT
2004,30987,VT
2004,33810,VA
2004,33274,WA
2004,23581,WV
2004,29968,WI
2004,32888,WY
2005,27130,AL
2005,35849,AK
2005,28904,AZ
2005,25653,AR
2005,33966,CA
2005,33364,CO
2005,41950,CT
2005,34643,DE
2005,45252,DC
2005,32102,FL
2005,29857,GA
2005,32416,HI
2005,26365,ID
2005,33666,IL
2005,28316,IN
2005,29563,IA
2005,29113,KS
2005,26247,KY
2005,27776,LA
2005,29603,ME
2005,37809,MD
2005,38113,MA
2005,29562,MI
2005,33389,MN
2005,24848,MS
2005,29167,MO
2005,27127,MT
2005,31349,NE
2005,33742,NV
2005,36743,NH
2005,38576,NJ
2005,26232,NM
2005,34712,NY
2005,28859,NC
2005,29336,ND
2005,28899,OH
2005,28823,OK
2005,28263,OR
2005,32403,PA
2005,32912,RI
2005,26419,SC
2005,31256,SD
2005,29027,TN
2005,30233,TX
2005,25807,UT
2005,31350,VT
2005,35240,VA
2005,33834,WA
2005,24552,WV
2005,30648,WI
2005,35337,WY
2006,28296,AL
2006,37574,AK
2006,30918,AZ
2006,26840,AR
2006,36259,CA
2006,35139,CO
2006,45093,CT
2006,36111,DE
2006,47572,DC
2006,34207,FL
2006,30859,GA
2006,34225,HI
2006,28017,ID
2006,35533,IL
2006,29589,IN
2006,31042,IA
2006,31763,KS
2006,27500,KY
2006,30793,LA
2006,30878,ME
2006,39384,MD
2006,40851,MA
2006,30260,MI
2006,34626,MN
2006,25654,MS
2006,30484,MO
2006,28874,MT
2006,32290,NE
2006,35271,NV
2006,38863,NH
2006,41233,NJ
2006,27614,NM
2006,36957,NY
2006,30551,NC
2006,30323,ND
2006,30218,OH
2006,31355,OK
2006,30302,OR
2006,33712,PA
2006,34584,RI
2006,27815,SC
2006,32362,SD
2006,30184,TN
2006,32160,TX
2006,27752,UT
2006,33076,VT
2006,37023,VA
2006,35984,WA
2006,26067,WV
2006,32139,WI
2006,39194,WY
2007,29371,AL
2007,39806,AK
2007,31988,AZ
2007,28186,AR
2007,37446,CA
2007,36588,CO
2007,47878,CT
2007,36647,DE
2007,50377,DC
2007,35295,FL
2007,31540,GA
2007,35999,HI
2007,29102,ID
2007,37143,IL
2007,30238,IN
2007,32807,IA
2007,33643,KS
2007,28310,KY
2007,32840,LA
2007,31885,ME
2007,40595,MD
2007,42193,MA
2007,31098,MI
2007,36197,MN
2007,27126,MS
2007,31526,MO
2007,30428,MT
2007,34387,NE
2007,35704,NV
2007,39995,NH
2007,43114,NJ
2007,28749,NM
2007,39227,NY
2007,32027,NC
2007,33184,ND
2007,31371,OH
2007,31956,OK
2007,31500,OR
2007,35453,PA
2007,36070,RI
2007,29017,SC
2007,35492,SD
2007,31101,TN
2007,33367,TX
2007,29258,UT
2007,34623,VT
2007,38557,VA
2007,38250,WA
2007,26848,WV
2007,33400,WI
2007,40569,WY
2008,30202,AL
2008,43261,AK
2008,32197,AZ
2008,29065,AR
2008,37777,CA
2008,37572,CO
2008,51372,CT
2008,35919,DE
2008,51654,DC
2008,35423,FL
2008,31494,GA
2008,37522,HI
2008,29499,ID
2008,38029,IL
2008,31616,IN
2008,34725,IA
2008,36669,KS
2008,29480,KY
2008,34633,LA
2008,33275,ME
2008,42553,MD
2008,44082,MA
2008,32086,MI
2008,37519,MN
2008,28148,MS
2008,33151,MO
2008,32034,MT
2008,36339,NE
2008,34880,NV
