year,state,pce_clothing_footwear_and_related_services,pce_communication,pce_education,pce_financial_services_and_insurance,pce_food_and_beverages_purchased_for_off-premises_consumption,pce_food_services_and_accommodations,pce_furnishings_household_equipment_and_routine_household_maintenance,pce_health,pce_housing_utilities_and_fuels,pce_other_goods_and_services,pce_total,pce_recreation,pce_transportation
1997,NJ,11090300000.0,5172700000.0,5090400000.0,16159500000.0,15555300000.0,10078700000.0,9262100000.0,30692700000.0,37193200000.0,12733700000.0,192898900000.0,17833400000.0,19566900000.0
1997,NM,1250000000.0,654800000.0,575200000.0,2139000000.0,2860300000.0,2217700000.0,1617000000.0,5135500000.0,5696900000.0,2068100000.0,30740200000.0,2280200000.0,3934100000.0
1997,NV,1328700000.0,821600000.0,472900000.0,3443000000.0,3621700000.0,2607600000.0,2029700000.0,4843200000.0,8259700000.000001,2481800000.0,38853300000.0,3667800000.0,4649800000.0
1997,NY,19892100000.0,10042300000.0,7725300000.0,29717100000.0,27690100000.0,22416600000.0,15578400000.0,74490300000.0,73012300000.0,28715400000.0,381635800000.0,31819500000.0,32976300000.000004
1997,OH,10056300000.0,4157100000.0000005,4239200000.0,12659000000.0,19486300000.0,13735700000.0,12155600000.0,38291800000.0,37080600000.0,14552700000.0,218972300000.0,21098500000.0,25564500000.0
1997,OK,2701400000.0,1422600000.0,1090800000.0,3521200000.0,5010600000.0,3446300000.0,2869400000.0,9877200000.0,10232300000.0,3507500000.0,56738400000.0,4928100000.0,7527500000.0
1997,OR,3127300000.0,1258100000.0,1201600000.0,5344900000.0,6352500000.0,4507100000.0,3370800000.0,9303600000.0,12366000000.0,4290800000.0,66805899999.99999,6308600000.0,8608300000.0
1997,PA,11643000000.0,4758800000.0,6403100000.0,18872400000.0,20924100000.0,13596500000.0,11762500000.0,45969900000.0,44119000000.0,18923900000.0,255549400000.0,22341900000.0,26849700000.0
1997,RI,815000000.0,503900000.0,498300000.0,1659200000.0,1709200000.0,1312400000.0,776900000.0,3911200000.0,3717800000.0,1313700000.0,20710800000.0,1686800000.0,2210000000.0
1997,SC,3797500000.0,1366200000.0,1394700000.0,3986900000.0,6776500000.0,5028100000.0,3972500000.0,11595600000.0,13131600000.0,4437000000.0,70588300000.0,5988300000.0,8290000000.0
1997,SD,587400000.0,266000000.0,273000000.0,801600000.0,1195200000.0,885700000.0,691600000.0,2462300000.0,2150200000.0,865700000.0,13007600000.0,1137300000.0,1284000000.0
1997,TN,5390500000.0,1791700000.0,1392300000.0,6397600000.0,9399700000.0,7040900000.0,6157600000.0,19239100000.0,17988700000.0,6922000000.0,105743600000.0,9231800000.0,13967800000.0
1997,TX,19290300000.0,10717900000.0,6570600000.0,28240400000.0,32634500000.0,24129000000.0,20063100000.0,59279300000.0,68993600000.0,24148100000.0,376030300000.0,33165500000.0,47370000000.0
1997,UT,1757200000.0,772300000.0,596300000.0,2701200000.0,3542500000.0,2420300000.0,2152900000.0,5279600000.0,7033700000.0,2092000000.0,37325700000.0,3735500000.0,5032200000.0
1997,VA,7226700000.0,4084100000.0,2650800000.0,9332600000.0,12071200000.0,9092000000.0,7562100000.0,20096200000.0,28407500000.0,10809800000.0,141305600000.0,14160700000.0,15964300000.0
1997,VT,555100000.0,285800000.0,369000000.0,745000000.0,1194700000.0,888300000.0,538900000.0,1913600000.0,2471400000.0,814000000.0,12821400000.0,1258700000.0,1381600000.0
1997,WA,4950500000.0,2568100000.0,2017200000.0,8788200000.0,10856200000.0,7556600000.0,5851300000.0,17803900000.0,22483100000.0,8553700000.000001,119075900000.0,11107200000.0,15045000000.0
1997,WI,4293200000.0,1455500000.0,2057300000.0000002,7543300000.0,9715400000.0,5948000000.0,5071500000.0,17822400000.0,18660300000.0,6303300000.0,103067500000.0,9281000000.0,12138400000.0
1997,WV,1175200000.0,515200000.00000006,485900000.0,1674600000.0,3087600000.0,1715900000.0,1576200000.0,6261100000.0,4951700000.0,2309400000.0,30313200000.0,2139199999.9999998,3374100000.0
1997,WY,545900000.0,185200000.0,178000000.0,789100000.0,919600000.0,684500000.0,419600000.0,1340100000.0,1780500000.0,597700000.0,9363500000.0,794700000.0,1154700000.0
1998,AK,556300000.0,204500000.0,281000000.0,883800000.0,1512400000.0,1114300000.0,724300000.0,2124300000.0000002,2579600000.0,1192200000.0,14922500000.0,1500600000.0,1770700000.0
1998,AL,3636500000.0,1947300000.0,1244200000.0,5399400000.0,7866400000.0,4464600000.0,4152500000.0,15206600000.0,14006400000.0,4600700000.0,80481000000.0,7014500000.0,9709400000.0
1998,AR,2296000000.0,1027599999.9999999,790900000.0,3244900000.0,4000500000.0,2475200000.0,2347200000.0,8059900000.0,7956800000.0,2619400000.0,44420300000.0,3504500000.0,5427900000.0
1998,AZ,3974900000.0,2096500000.0,1805200000.0,7319800000.0,8470600000.0,7113700000.0,5895200000.0,14754200000.0,21535300000.0,7047900000.0,103672500000.0,9459500000.0,13149100000.0
1998,CA,34925000000.0,17236800000.0,13136500000.0,56229600000.0,55894600000.0,45679500000.0,35097600000.0,112607400000.0,140097600000.0,44731600000.0,716811300000.0,74122600000.0,79545000000.0
1998,CO,4325100000.0,1741600000.0,1903100000.0,7316100000.0,7640500000.0,7069100000.0,5404600000.0,13133600000.0,18499600000.0,6456700000.0,96415900000.0,11567300000.0,11472100000.0
1998,CT,4178100000.0000005,2238000000.0,2229400000.0,9406500000.0,6727000000.0,4259300000.0,4264600000.0000005,14773300000.0,14501400000.0,5980700000.0,88312400000.0,8743000000.0,9455300000.0
1998,DC,963100000.0,550300000.0,356700000.0,1529500000.0,1580300000.0,1275300000.0,687200000.0,3347500000.0,2697600000.0,2728100000.0,19755800000.0,1496900000.0,2241500000.0
1998,DE,910200000.0,380700000.0,398100000.0,1622500000.0,1501100000.0,1219900000.0,960300000.0,2920600000.0,3258000000.0,1243700000.0,18576300000.0,1786200000.0,2041200000.0
1998,FL,12329700000.0,7508600000.0,4270899999.9999995,30298600000.0,30522800000.0,25005500000.0,20223800000.0,56285800000.0,75361900000.0,23284900000.0,358211500000.0,32568300000.0,40264500000.0
1998,GA,8217799999.999999,2917700000.0,2488900000.0,12137100000.0,13887200000.0,10907700000.0,9098600000.0,26196600000.0,29967400000.0,10355300000.0,161348100000.0,14100300000.0,21160300000.0
1998,HI,1492900000.0,502900000.0,503800000.0,1985200000.0,2617800000.0,1917100000.0,1118400000.0,4596100000.0,5389700000.0,1989400000.0,27558700000.0,2181600000.0,2322500000.0
1998,IA,2347700000.0,1136500000.0,1258900000.0,3176900000.0,4772500000.0,3232400000.0,2648400000.0,10011700000.0,9798000000.0,3737100000.0,56767000000.0,5673500000.0,7116900000.0
1998,ID,836400000.0,375900000.0,401600000.0,1756200000.0,2334400000.0,1377600000.0,1161300000.0,3378100000.0,4569600000.0,1241700000.0,22540800000.0,2070000000.0,2706500000.0
1998,IL,13310200000.0,6004900000.0,7066600000.0,22388000000.0,19657900000.0,16112600000.0,12955500000.0,43163500000.0,46636100000.0,19707000000.0,274083700000.0,24830300000.0,33004000000.0
1998,IN,5244800000.0,2055800000.0000002,2280200000.0,7066500000.0,10943200000.0,7629500000.0,6516200000.0,20456500000.0,20717500000.0,7340100000.0,118005000000.0,10679700000.0,14221600000.0
1998,KS,2236600000.0,1804600000.0,1199700000.0,3767300000.0,4857600000.0,3069300000.0,2679300000.0,8998700000.0,8893300000.0,3343900000.0,53713600000.0,5523600000.0,6332400000.0
1998,KY,3113300000.0,1049700000.0,1456800000.0,4610200000.0,7077800000.0,4627700000.0,3767100000.0,13930500000.0,12143200000.0,4930800000.0,73419100000.0,5825000000.0,9105300000.0
1998,LA,3736200000.0,1319300000.0,1200600000.0,5340800000.0,7890000000.0,5168600000.0,4203200000.0,15208400000.0,13320600000.0,5342800000.0,79151600000.0,5566800000.0,9716300000.0
1998,MA,8188600000.0,2997400000.0,3778800000.0,15705900000.0,12453600000.0,10280400000.0,7020000000.0,29974400000.0,27697600000.0,10651800000.0,163603500000.0,16044500000.0,15945300000.0
