state,year,mean_usual_hours
AL,2005,39.8
AL,2006,39.8
AL,2007,39.8
AL,2008,39.4
AL,2009,38.7
AL,2010,38.6
AL,2011,38.8
AL,2012,38.8
AL,2013,38.7
AL,2014,38.8
AL,2015,39.0
AL,2016,38.9
AL,2017,39.0
AL,2018,39.0
AL,2019,39.2
AK,2005,41.4
AK,2006,42.2
AK,2007,42.9
AK,2008,42.6
AK,2009,40.8
AK,2010,41.9
AK,2011,41.9
AK,2012,41.8
AK,2013,42.2
AK,2014,42.2
AK,2015,42.0
AK,2016,41.6
AK,2017,41.4
AK,2018,41.7
AK,2019,41.6
AZ,2005,39.9
AZ,2006,39.9
AZ,2007,39.6
AZ,2008,39.1
AZ,2009,38.4
AZ,2010,38.3
AZ,2011,38.3
AZ,2012,38.4
AZ,2013,38.4
AZ,2014,38.5
AZ,2015,38.5
AZ,2016,38.6
AZ,2017,38.5
AZ,2018,38.8
AZ,2019,38.7
AR,2005,39.9
AR,2006,39.8
AR,2007,39.6
AR,2008,39.6
AR,2009,39.1
AR,2010,38.9
AR,2011,39.2
AR,2012,39.3
AR,2013,39.1
AR,2014,39.3
AR,2015,39.4
AR,2016,39.2
AR,2017,39.4
AR,2018,39.6
AR,2019,39.3
CA,2005,39.2
CA,2006,39.1
CA,2007,39.1
CA,2008,38.6
CA,2009,38.0
CA,2010,37.8
CA,2011,37.7
CA,2012,37.7
CA,2013,37.9
CA,2014,37.9
CA,2015,38.0
CA,2016,38.2
CA,2017,38.2
CA,2018,38.3
CA,2019,38.2
CO,2005,39.6
CO,2006,39.5
CO,2007,39.6
CO,2008,39.3
CO,2009,38.5
CO,2010,38.6
CO,2011,38.6
CO,2012,38.7
CO,2013,38.8
CO,2014,39.0
CO,2015,39.0
CO,2016,39.0
CO,2017,39.1
CO,2018,39.2
CO,2019,39.1
CT,2005,39.1
CT,2006,38.6
CT,2007,38.8
CT,2008,38.6
CT,2009,38.0
CT,2010,37.7
CT,2011,37.8
CT,2012,38.0
CT,2013,37.9
CT,2014,38.1
CT,2015,38.2
CT,2016,38.1
CT,2017,38.1
CT,2018,38.2
CT,2019,37.9
DE,2005,39.5
DE,2006,39.0
DE,2007,38.9
DE,2008,38.8
DE,2009,38.2
DE,2010,38.2
DE,2011,37.8
DE,2012,37.9
DE,2013,37.9
DE,2014,38.2
DE,2015,38.3
DE,2016,38.7
DE,2017,38.6
DE,2018,38.8
DE,2019,38.1
DC,2005,41.2
DC,2006,40.3
DC,2007,40.7
DC,2008,40.5
DC,2009,39.8
DC,2010,40.1
DC,2011,40.4
