state,year,occupied_households,Total,vacant_households
VA,2019,3191847.0,3562258.0,370411.0
VT,2005,248825.0,307345.0,58520.0
VT,2006,253808.0,309566.0,55758.0
VT,2007,252580.0,311420.0,58840.0
VT,2008,249986.0,312618.0,62632.0
VT,2009,251736.0,314259.0,62523.0
VT,2010,256922.0,322698.0,65776.0
VT,2011,257358.0,324385.0,67027.0
VT,2012,258520.0,324052.0,65532.0
VT,2013,253234.0,323936.0,70702.0
VT,2014,257229.0,325774.0,68545.0
VT,2015,254865.0,326874.0,72009.0
VT,2016,254851.0,329539.0,74688.0
VT,2017,256629.0,335248.0,78619.0
VT,2018,261373.0,337133.0,75760.0
VT,2019,262767.0,339412.0,76645.0
WA,2005,2450474.0,2651645.0,201171.0
WA,2006,2471912.0,2699658.0,227746.0
WA,2007,2501509.0,2744324.0,242815.0
WA,2008,2547663.0,2791765.0,244102.0
WA,2009,2559288.0,2814297.0,255009.0
WA,2010,2606863.0,2888594.0,281731.0
WA,2011,2632621.0,2907605.0,274984.0
WA,2012,2636817.0,2914775.0,277958.0
WA,2013,2644557.0,2928300.0,283743.0
WA,2014,2679601.0,2963293.0,283692.0
WA,2015,2728573.0,2991584.0,263011.0
WA,2016,2768076.0,3025802.0,257726.0
WA,2017,2840377.0,3103263.0,262886.0
WA,2018,2895575.0,3148084.0,252509.0
WA,2019,2932477.0,3195098.0,262621.0
WI,2005,2219571.0,2498500.0,278929.0
WI,2006,2230060.0,2532958.0,302898.0
WI,2007,2241597.0,2558278.0,316681.0
WI,2008,2249630.0,2568752.0,319122.0
WI,2009,2272274.0,2584342.0,312068.0
WI,2010,2279532.0,2625477.0,345945.0
WI,2011,2275352.0,2634806.0,359454.0
WI,2012,2288362.0,2632625.0,344263.0
WI,2013,2289424.0,2633420.0,343996.0
WI,2014,2307685.0,2648342.0,340657.0
WI,2015,2319538.0,2656669.0,337131.0
WI,2016,2326998.0,2668443.0,341445.0
WI,2017,2350293.0,2695303.0,345010.0
WI,2018,2371960.0,2710718.0,338758.0
WI,2019,2386623.0,2725153.0,338530.0
WV,2005,740702.0,872203.0,131501.0
WV,2006,743064.0,877587.0,134523.0
WV,2007,733849.0,882631.0,148782.0
WV,2008,749586.0,886419.0,136833.0
WV,2009,748517.0,893766.0,145249.0
WV,2010,741940.0,882213.0,140273.0
WV,2011,735408.0,881821.0,146413.0
WV,2012,741544.0,882800.0,141256.0
WV,2013,738653.0,879424.0,140771.0
WV,2014,735375.0,884574.0,149199.0
WV,2015,734536.0,885539.0,151003.0
WV,2016,722125.0,886710.0,164585.0
WV,2017,715308.0,892240.0,176932.0
WV,2018,734703.0,893742.0,159039.0
WV,2019,728175.0,894983.0,166808.0
WY,2005,204935.0,235721.0,30786.0
WY,2006,207302.0,239088.0,31786.0
WY,2007,206136.0,242344.0,36208.0
WY,2008,208613.0,246418.0,37805.0
WY,2009,213571.0,249404.0,35833.0
WY,2010,222803.0,262286.0,39483.0
WY,2011,222539.0,265554.0,43015.0
WY,2012,223513.0,265207.0,41694.0
WY,2013,224003.0,265471.0,41468.0
WY,2014,232594.0,268205.0,35611.0
WY,2015,228937.0,269469.0,40532.0
WY,2016,223619.0,270625.0,47006.0
WY,2017,225796.0,276733.0,50937.0
WY,2018,230252.0,278615.0,48363.0
WY,2019,233128.0,280281.0,47153.0
