state,year,gini_index
LA,2016,0.499
LA,2017,0.4935
LA,2018,0.4936
LA,2019,0.4978
ME,2006,0.428
ME,2007,0.44
ME,2008,0.436
ME,2009,0.432
ME,2010,0.437
ME,2011,0.4509
ME,2012,0.445
ME,2013,0.4532
ME,2014,0.4593
ME,2015,0.4523
ME,2016,0.4519
ME,2017,0.4526
ME,2018,0.4516
ME,2019,0.449
MD,2006,0.433
MD,2007,0.442
MD,2008,0.438
MD,2009,0.448
MD,2010,0.443
MD,2011,0.4466
MD,2012,0.4473
MD,2013,0.4555
MD,2014,0.4491
MD,2015,0.4524
MD,2016,0.4499
MD,2017,0.453
MD,2018,0.4543
MD,2019,0.4558
MA,2006,0.461
MA,2007,0.467
MA,2008,0.471
MA,2009,0.468
MA,2010,0.475
MA,2011,0.4771
MA,2012,0.4813
MA,2013,0.4837
MA,2014,0.4863
MA,2015,0.4848
MA,2016,0.4786
MA,2017,0.4851
MA,2018,0.4875
MA,2019,0.4803
MI,2006,0.444
MI,2007,0.448
MI,2008,0.451
MI,2009,0.453
MI,2010,0.451
MI,2011,0.4612
MI,2012,0.4624
MI,2013,0.4641
MI,2014,0.4598
MI,2015,0.4667
MI,2016,0.4695
MI,2017,0.4671
MI,2018,0.4679
MI,2019,0.4634
MN,2006,0.43
MN,2007,0.436
MN,2008,0.445
MN,2009,0.439
MN,2010,0.44
MN,2011,0.4436
MN,2012,0.4441
MN,2013,0.4462
MN,2014,0.4539
MN,2015,0.4492
MN,2016,0.4496
MN,2017,0.4516
MN,2018,0.4536
MN,2019,0.4434
MS,2006,0.471
MS,2007,0.48
MS,2008,0.478
MS,2009,0.47
MS,2010,0.468
MS,2011,0.4735
MS,2012,0.487
MS,2013,0.4791
MS,2014,0.476
MS,2015,0.4759
MS,2016,0.4828
MS,2017,0.479
MS,2018,0.4828
MS,2019,0.4896
MO,2006,0.449
MO,2007,0.45
MO,2008,0.448
MO,2009,0.45
MO,2010,0.455
MO,2011,0.4611
MO,2012,0.4608
MO,2013,0.4605
MO,2014,0.4628
MO,2015,0.4634
MO,2016,0.4646
MO,2017,0.4618
MO,2018,0.4657
MO,2019,0.4633
MT,2006,0.426
MT,2007,0.443
MT,2008,0.449
MT,2009,0.431
MT,2010,0.435
MT,2011,0.4351
MT,2012,0.4502
MT,2013,0.462
MT,2014,0.4544
MT,2015,0.4623
MT,2016,0.4667
MT,2017,0.4539
MT,2018,0.4535
MT,2019,0.4597
NE,2006,0.43
NE,2007,0.429
NE,2008,0.427
NE,2009,0.44
NE,2010,0.432
NE,2011,0.4467
NE,2012,0.4339
NE,2013,0.4445
NE,2014,0.4352
NE,2015,0.4473
NE,2016,0.4477
NE,2017,0.4391
NE,2018,0.4488
NE,2019,0.44
NV,2006,0.434
NV,2007,0.437
NV,2008,0.431
NV,2009,0.433
NV,2010,0.448
NV,2011,0.4526
NV,2012,0.4516
NV,2013,0.4543
NV,2014,0.4427
NV,2015,0.4548
NV,2016,0.4577
NV,2017,0.4606
NV,2018,0.469
NV,2019,0.471
NH,2006,0.417
NH,2007,0.417
NH,2008,0.419
NH,2009,0.431
NH,2010,0.425
NH,2011,0.4347
NH,2012,0.4298
NH,2013,0.4387
NH,2014,0.441
NH,2015,0.4347
NH,2016,0.4304
NH,2017,0.4386
NH,2018,0.453
NH,2019,0.4406
NJ,2006,0.458
NJ,2007,0.464
NJ,2008,0.462
NJ,2009,0.465
NJ,2010,0.464
NJ,2011,0.4694
NJ,2012,0.4718
NJ,2013,0.48
NJ,2014,0.4757
NJ,2015,0.4832
NJ,2016,0.4813
NJ,2017,0.4794
NJ,2018,0.4836
NJ,2019,0.4782
NM,2006,0.457
NM,2007,0.459
NM,2008,0.46
NM,2009,0.453
NM,2010,0.464
NM,2011,0.4821
NM,2012,0.4713
NM,2013,0.4759
NM,2014,0.477
NM,2015,0.4795
NM,2016,0.4769
NM,2017,0.4776
NM,2018,0.4891
NM,2019,0.4768
NY,2006,0.495
NY,2007,0.5
NY,2008,0.503
NY,2009,0.502
NY,2010,0.499
NY,2011,0.5033
NY,2012,0.5009
NY,2013,0.5098
NY,2014,0.5111
NY,2015,0.5138
NY,2016,0.5129
NY,2017,0.5157
NY,2018,0.513
NY,2019,0.5149
NC,2006,0.458
NC,2007,0.465
NC,2008,0.463
NC,2009,0.464
NC,2010,0.464
NC,2011,0.4716
NC,2012,0.4691
NC,2013,0.4765
NC,2014,0.4748
NC,2015,0.4776
NC,2016,0.478
NC,2017,0.4763
NC,2018,0.4782
NC,2019,0.4743
ND,2006,0.434
ND,2007,0.44
ND,2008,0.451
ND,2009,0.45
ND,2010,0.433
ND,2011,0.4448
ND,2012,0.4597
ND,2013,0.455
ND,2014,0.4664
ND,2015,0.4664
ND,2016,0.4533
ND,2017,0.4546
ND,2018,0.4427
ND,2019,0.4558
OH,2006,0.449
OH,2007,0.448
OH,2008,0.45
OH,2009,0.453
OH,2010,0.452
OH,2011,0.4594
OH,2012,0.4615
OH,2013,0.4652
OH,2014,0.4637
OH,2015,0.4637
OH,2016,0.468
OH,2017,0.4642
OH,2018,0.4667
OH,2019,0.4651
OK,2006,0.46
OK,2007,0.463
OK,2008,0.458
OK,2009,0.46
OK,2010,0.454
OK,2011,0.4613
OK,2012,0.4643
OK,2013,0.4619
OK,2014,0.466
OK,2015,0.4702
OK,2016,0.4645
OK,2017,0.4658
OK,2018,0.4687
OK,2019,0.4739
OR,2006,0.444
OR,2007,0.442
OR,2008,0.447
OR,2009,0.443
OR,2010,0.449
OR,2011,0.4586
OR,2012,0.4565
OR,2013,0.46
OR,2014,0.4624
OR,2015,0.4622
OR,2016,0.4583
OR,2017,0.4593
OR,2018,0.4582
OR,2019,0.45
PA,2006,0.455
PA,2007,0.46
PA,2008,0.457
PA,2009,0.46
PA,2010,0.461
PA,2011,0.4611
PA,2012,0.4642
PA,2013,0.4696
PA,2014,0.4686
PA,2015,0.4685
PA,2016,0.4689
PA,2017,0.4777
PA,2018,0.4747
PA,2019,0.4745
,2006,0.535
,2007,0.544
,2008,0.54
,2009,0.532
,2010,0.537
,2011,0.531
,2012,0.5325
,2013,0.547
,2014,0.5472
,2015,0.5589
,2016,0.5419
,2017,0.5512
,2018,0.5424
,2019,0.5509
RI,2006,0.442
RI,2007,0.457
RI,2008,0.46
RI,2009,0.457
RI,2010,0.467
RI,2011,0.4674
RI,2012,0.4647
RI,2013,0.4769
RI,2014,0.4827
RI,2015,0.4732
RI,2016,0.4781
RI,2017,0.4722
RI,2018,0.47
RI,2019,0.4628
SC,2006,0.462
SC,2007,0.459
SC,2008,0.464
SC,2009,0.462
SC,2010,0.461
SC,2011,0.4648
SC,2012,0.4684
SC,2013,0.4665
SC,2014,0.4687
SC,2015,0.4698
SC,2016,0.4735
SC,2017,0.4795
SC,2018,0.4762
SC,2019,0.4747
SD,2006,0.439
SD,2007,0.423
SD,2008,0.446
SD,2009,0.452
SD,2010,0.442
SD,2011,0.4324
SD,2012,0.4335
SD,2013,0.4427
SD,2014,0.4468
SD,2015,0.4436
SD,2016,0.4495
SD,2017,0.4488
SD,2018,0.4445
SD,2019,0.436
TN,2006,0.468
TN,2007,0.471
TN,2008,0.471
TN,2009,0.467
TN,2010,0.468
TN,2011,0.4756
TN,2012,0.4732
TN,2013,0.4783
TN,2014,0.4811
TN,2015,0.4789
TN,2016,0.479
TN,2017,0.4822
TN,2018,0.4778
TN,2019,0.4749
TX,2006,0.474
TX,2007,0.473
TX,2008,0.474
TX,2009,0.474
TX,2010,0.469
TX,2011,0.4771
TX,2012,0.4767
TX,2013,0.4807
TX,2014,0.4827
TX,2015,0.4823
TX,2016,0.48
TX,2017,0.4781
TX,2018,0.4822
TX,2019,0.4753
UT,2006,0.41
UT,2007,0.409
UT,2008,0.411
UT,2009,0.414
UT,2010,0.419
UT,2011,0.4249
UT,2012,0.4244
UT,2013,0.4259
UT,2014,0.4283
UT,2015,0.4252
UT,2016,0.4263
UT,2017,0.4225
UT,2018,0.4269
UT,2019,0.4268
VT,2006,0.42
VT,2007,0.428
VT,2008,0.434
VT,2009,0.428
VT,2010,0.444
VT,2011,0.4308
VT,2012,0.4392
VT,2013,0.4537
VT,2014,0.4406
VT,2015,0.4452
VT,2016,0.4539
VT,2017,0.4525
VT,2018,0.4473
VT,2019,0.4471
VA,2006,0.456
VA,2007,0.456
VA,2008,0.46
VA,2009,0.456
VA,2010,0.459
VA,2011,0.4632
VA,2012,0.4661
VA,2013,0.4672
VA,2014,0.4658
VA,2015,0.4681
VA,2016,0.4705
VA,2017,0.4674
VA,2018,0.4754
VA,2019,0.469
WA,2006,0.443
WA,2007,0.444
WA,2008,0.442
WA,2009,0.439
WA,2010,0.441
WA,2011,0.4449
WA,2012,0.4498
WA,2013,0.4572
WA,2014,0.4542
WA,2015,0.4561
WA,2016,0.4591
WA,2017,0.4561
WA,2018,0.4574
WA,2019,0.4577
WV,2006,0.447
WV,2007,0.454
WV,2008,0.453
WV,2009,0.463
WV,2010,0.451
WV,2011,0.4721
WV,2012,0.4638
WV,2013,0.4647
WV,2014,0.4546
WV,2015,0.4581
WV,2016,0.4711
WV,2017,0.4686
WV,2018,0.4742
WV,2019,0.4644
WI,2006,0.424
WI,2007,0.428
WI,2008,0.426
WI,2009,0.432
WI,2010,0.43
WI,2011,0.437
WI,2012,0.4401
WI,2013,0.4446
WI,2014,0.4397
WI,2015,0.441
WI,2016,0.4498
WI,2017,0.4467
WI,2018,0.4483
WI,2019,0.4391
WY,2006,0.413
WY,2007,0.437
WY,2008,0.441
WY,2009,0.415
WY,2010,0.423
WY,2011,0.4081
WY,2012,0.4166
WY,2013,0.4183
WY,2014,0.427
WY,2015,0.4374
WY,2016,0.436
WY,2017,0.4326
WY,2018,0.4555
WY,2019,0.4345
