state,year,median_income
KS,2017,56422.0
KS,2018,58218.0
KS,2019,62087.0
KY,2005,37369.0
KY,2006,39372.0
KY,2007,40267.0
KY,2008,41538.0
KY,2009,40072.0
KY,2010,40062.0
KY,2011,41141.0
KY,2012,41724.0
KY,2013,43399.0
KY,2014,42958.0
KY,2015,45215.0
KY,2016,46659.0
KY,2017,48375.0
KY,2018,50247.0
KY,2019,52295.0
LA,2005,36729.0
LA,2006,39337.0
LA,2007,40926.0
LA,2008,43733.0
LA,2009,42492.0
LA,2010,42505.0
LA,2011,41734.0
LA,2012,42944.0
LA,2013,44164.0
LA,2014,44555.0
LA,2015,45727.0
LA,2016,45146.0
LA,2017,46145.0
LA,2018,47905.0
LA,2019,51073.0
ME,2005,42801.0
ME,2006,43439.0
ME,2007,45888.0
ME,2008,46581.0
ME,2009,45734.0
ME,2010,45815.0
ME,2011,46033.0
ME,2012,46709.0
ME,2013,46974.0
ME,2014,49462.0
ME,2015,51494.0
ME,2016,53079.0
ME,2017,56277.0
ME,2018,55602.0
ME,2019,58924.0
MD,2005,61592.0
MD,2006,65144.0
MD,2007,68080.0
MD,2008,70545.0
MD,2009,69272.0
MD,2010,68854.0
MD,2011,70004.0
MD,2012,71122.0
MD,2013,72483.0
MD,2014,73971.0
MD,2015,75847.0
MD,2016,78945.0
MD,2017,80776.0
MD,2018,83242.0
MD,2019,86738.0
MA,2005,57184.0
MA,2006,59963.0
MA,2007,62365.0
MA,2008,65401.0
MA,2009,64081.0
MA,2010,62072.0
MA,2011,62859.0
MA,2012,65339.0
MA,2013,66768.0
MA,2014,69160.0
MA,2015,70628.0
MA,2016,75297.0
MA,2017,77385.0
MA,2018,79835.0
MA,2019,85843.0
MI,2005,46039.0
MI,2006,47182.0
MI,2007,47950.0
MI,2008,48591.0
MI,2009,45255.0
MI,2010,45413.0
MI,2011,45981.0
MI,2012,46859.0
MI,2013,48273.0
MI,2014,49847.0
MI,2015,51084.0
MI,2016,52492.0
MI,2017,54909.0
MI,2018,56697.0
MI,2019,59584.0
MN,2005,52024.0
MN,2006,54023.0
MN,2007,55802.0
MN,2008,57288.0
MN,2009,55616.0
MN,2010,55459.0
MN,2011,56954.0
MN,2012,58906.0
MN,2013,60702.0
MN,2014,61481.0
MN,2015,63488.0
MN,2016,65599.0
MN,2017,68388.0
MN,2018,70315.0
MN,2019,74593.0
MS,2005,32938.0
MS,2006,34473.0
MS,2007,36338.0
MS,2008,37790.0
MS,2009,36646.0
MS,2010,36851.0
MS,2011,36919.0
MS,2012,37095.0
MS,2013,37963.0
MS,2014,39680.0
MS,2015,40593.0
MS,2016,41754.0
MS,2017,43529.0
MS,2018,44717.0
MS,2019,45792.0
MO,2005,41974.0
MO,2006,42841.0
MO,2007,45114.0
MO,2008,46867.0
MO,2009,45229.0
MO,2010,44301.0
MO,2011,45247.0
MO,2012,45321.0
MO,2013,46931.0
MO,2014,48363.0
MO,2015,50238.0
MO,2016,51746.0
MO,2017,53578.0
MO,2018,54478.0
MO,2019,57409.0
MT,2005,39301.0
MT,2006,40627.0
MT,2007,43531.0
MT,2008,43654.0
MT,2009,42322.0
MT,2010,42666.0
MT,2011,44222.0
MT,2012,45076.0
MT,2013,46972.0
MT,2014,46328.0
MT,2015,49509.0
MT,2016,50027.0
MT,2017,53386.0
MT,2018,55328.0
MT,2019,57153.0
NE,2005,43849.0
NE,2006,45474.0
NE,2007,47085.0
NE,2008,49693.0
NE,2009,47357.0
NE,2010,48408.0
NE,2011,50296.0
NE,2012,50723.0
NE,2013,51440.0
NE,2014,52686.0
NE,2015,54996.0
NE,2016,56927.0
NE,2017,59970.0
NE,2018,59566.0
NE,2019,63229.0
NV,2005,49169.0
NV,2006,52998.0
NV,2007,55062.0
NV,2008,56361.0
NV,2009,53341.0
NV,2010,51001.0
NV,2011,48927.0
NV,2012,49760.0
NV,2013,51230.0
NV,2014,51450.0
NV,2015,52431.0
NV,2016,55180.0
NV,2017,58003.0
NV,2018,58646.0
NV,2019,63276.0
NH,2005,56768.0
NH,2006,59683.0
NH,2007,62369.0
NH,2008,63731.0
NH,2009,60567.0
NH,2010,61042.0
NH,2011,62647.0
NH,2012,63280.0
NH,2013,64230.0
NH,2014,66532.0
NH,2015,70303.0
NH,2016,70936.0
NH,2017,73381.0
NH,2018,74991.0
NH,2019,77933.0
NJ,2005,61672.0
NJ,2006,64470.0
NJ,2007,67035.0
NJ,2008,70378.0
NJ,2009,68342.0
NJ,2010,67681.0
NJ,2011,67458.0
NJ,2012,69667.0
NJ,2013,70165.0
NJ,2014,71919.0
NJ,2015,72222.0
NJ,2016,76126.0
NJ,2017,80088.0
NJ,2018,81740.0
NJ,2019,85751.0
NM,2005,37492.0
NM,2006,40629.0
NM,2007,41452.0
NM,2008,43508.0
NM,2009,43028.0
NM,2010,42090.0
NM,2011,41963.0
NM,2012,42558.0
NM,2013,43872.0
NM,2014,44803.0
NM,2015,45382.0
NM,2016,46748.0
NM,2017,46744.0
NM,2018,47169.0
NM,2019,51945.0
NY,2005,49480.0
NY,2006,51384.0
NY,2007,53514.0
NY,2008,56033.0
NY,2009,54659.0
NY,2010,54148.0
NY,2011,55246.0
NY,2012,56448.0
NY,2013,57369.0
NY,2014,58878.0
NY,2015,60850.0
NY,2016,62909.0
NY,2017,64894.0
NY,2018,67844.0
NY,2019,72108.0
NC,2005,40729.0
NC,2006,42625.0
NC,2007,44670.0
NC,2008,46549.0
NC,2009,43674.0
NC,2010,43326.0
NC,2011,43916.0
NC,2012,45150.0
NC,2013,45906.0
NC,2014,46556.0
NC,2015,47830.0
NC,2016,50584.0
NC,2017,52752.0
NC,2018,53855.0
NC,2019,57341.0
ND,2005,41030.0
ND,2006,41919.0
ND,2007,43753.0
ND,2008,45685.0
ND,2009,47827.0
ND,2010,48670.0
ND,2011,51704.0
