GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41000,Oregon,21514,22415,22779,24189,24885,25317,26206,27522,28263,30302,31500,32421,31811,32347,33311,34966,34830,36873,38815,39827,41677,44090,45659,49576
42000,Pennsylvania,22571,23659,24641,26321,27471,28512,29714,31446,32403,33712,35453,36771,36598,38083,39503,41163,41169,42830,44329,45619,46951,49778,51073,55271
44000,Rhode Island,22700,23978,24782,26260,27518,29066,30682,32182,32912,34584,36070,36862,36879,38821,39699,41325,40822,42500,43887,44413,46327,48206,50320,54610
45000,South Carolina,19187,20203,20908,22199,22782,23624,24399,25488,26419,27815,29017,30002,29497,30222,31367,32729,32548,34316,35732,36555,38038,39456,40913,43471
46000,South Dakota,20460,22021,22834,24265,25015,25312,27908,29826,31256,32362,35492,37772,36968,38676,41383,41761,41660,43205,44651,44608,45953,48307,50481,54984
47000,Tennessee,20856,22556,23182,24367,24772,25758,26867,28219,29027,30184,31101,32127,32261,33503,34985,36559,36379,37502,38982,39762,41315,43455,45085,47192
48000,Texas,21266,22627,23509,25024,26294,26815,27715,28690,30233,32160,33367,35692,34445,35949,38215,40245,40386,42556,42577,42097,44176,47216,48489,50523
49000,Utah,18649,19481,20164,21186,21900,22598,23317,24468,25807,27752,29258,30297,29018,29407,30969,32537,32744,34215,36139,37194,38832,41254,43777,46931
50000,Vermont,21136,22559,23642,25338,27015,27941,29331,30987,31350,33076,34623,36682,37161,38313,40009,41450,41632,43406,44529,45258,46445,48152,49725,53632
51000,Virginia,23782,24857,26061,27844,29006,30202,31997,33810,35240,37023,38557,39698,39463,40636,42009,43767,42650,44180,45639,46566,48149,49876,51151,54283
53000,Washington,24160,25728,26537,28257,29060,29852,31116,33274,33834,35984,38250,39846,38370,38911,40106,43064,43104,45719,47366,48815,51032,53920,56332,60468
54000,West Virginia,17524,18272,18802,19945,21205,22265,22700,23581,24552,26067,26848,28418,29058,30013,31325,32345,32026,33123,33915,33955,35669,37839,38673,41251
55000,Wisconsin,21934,23223,24023,25484,26741,27841,28723,29968,30648,32139,33400,34479,34530,35422,36903,38557,38303,39929,41356,41863,43507,45631,46900,49577
56000,Wyoming,21265,22514,24012,25645,27384,28622,30636,32888,35337,39194,40569,43947,40979,42498,46074,48271,47759,51378,51568,49224,51019,54360,55259,56418
91000,New England,25766,27187,28545,30758,32436,33577,34547,36341,37458,39981,41653,43764,44493,46036,46913,48452,47307,49236,51331,52954,54775,57435,59273,63352
92000,Mideast,25267,26525,27664,29657,30624,31808,32813,34393,35303,37283,39189,40289,40622,41918,43324,45192,44794,46507,48213,50016,52356,54624,56142,60317
93000,Great Lakes,22582,23765,24617,26140,26962,27725,28642,29783,30484,31832,32989,34078,33630,34617,36085,37604,37794,39430,41005,41773,43286,45398,46621,50119
94000,Plains,21839,23030,23820,25277,26141,27030,28370,29895,30592,32045,33684,35594,35172,36197,38192,40106,40006,41470,42454,42766,44022,46106,47385,50628
95000,Southeast,20772,21901,22638,23935,24797,25705,26847,28336,29581,31212,32389,33209,32627,33639,34745,36023,35558,37176,38501,39269,40730,42728,44217,47014
96000,Southwest,20599,21819,22564,24031,25210,25858,26849,28053,29632,31607,32726,34765,33476,34700,36606,38429,38657,40705,40781,40440,42326,44982,46365,48747
97000,Rocky Mountain,21175,22555,23443,25067,26052,26667,27534,28709,30013,31904,33309,34397,33099,33721,35565,37281,37975,40207,41538,41711,43816,46427,48535,51457
98000,Far West *,23448,24872,25835,27454,28500,29502,30762,32412,33513,35707,37019,37566,36930,37966,39394,41554,41259,43532,45809,47414,49385,51679,53944,59023
