state,year,population,subsidies,taxes_on_production_and_imports_(topi),gdp_compensation,gdp_current_dollar,gdp_gross_operating_surplus,per_capita_personal_income,per_cap_gdp_current_dollar,poverty_rate,gini_index,median_age,median_income,mean_usual_hours,median_monthly_house_cost,house_low_value_quartile,house_median_value,house_upper_value_quartile,rent_low_value_quartile,rent_median_value,rent_upper_value_quartile,household_renter_occ_ratio,household_owner_occ_ratio,households_occupied_ratio,per_pupil_revenue,per_pupil_expenditure,edu_associate_degree,edu_bachelor_degree,edu_high_school,edu_master_degree,edu_total,sa,naics_sector,business_applications,business_applications_from_corporations,high_propensity_business_application
SC,2018,5021059.0,-99.48100589935311,3535.9672132910605,25715.272415639807,233665300000.0,17385.29660774749,44326.0,46537.055230779006,0.128,0.4762,39.7,52306.0,39.0,828.0,94700.0,170800.0,282200.0,490.0,692.0,975.0,0.3002333728889736,0.6997666271110263,0.831643223391714,14153.0,10994.0,0.10156985758893354,0.17957624582838802,0.25271944003401714,0.07680490671767332,3492355.0,A,Total for All NAICS,49328.0,3058.0,15978.0
SC,2019,5077543.0,-116.27671099978868,3707.029167453629,26694.38742320843,244662300000.0,17900.01581473559,46173.0,48185.175388962736,0.151,0.4747,39.9,56227.0,39.2,844.0,102600.0,179800.0,292700.0,521.0,729.0,1022.0,0.2864323050951687,0.7135676949048313,0.8403271462861556,,,0.09894157056402048,0.18424316991112494,0.2411891095766619,0.08497127865819638,3563204.0,A,Total for All NAICS,51857.0,2710.0,16026.0
SC,2020,5130729.0,-1531.6731793863992,3682.9854003203054,26628.827989160993,244881700000.0,18948.32098908362,48838.0,47728.44170877082,0.133,,,,,,,,,,,,,,,,,,,,,,A,Total for All NAICS,71480.0,2784.0,19107.0
SD,1997,744223.0,-396.9240402406268,2191.547425973129,12919.64908367519,19031400000.0,10857.901462330512,22582.0,25572.1739317382,0.165,,,,,,,,,,,,,,,5576.0,4669.0,,,,,,,,,,
SD,1998,746058.0,-587.0857225577636,2279.045328915446,13781.3682046168,20228100000.0,11640.113771315368,24277.0,27113.307544453648,0.108,,,,,,,,,,,,,,,6257.0,5259.0,,,,,,,,,,
SD,1999,750412.0,-998.5181473643812,2403.7462087493273,14697.526158963343,21078700000.0,11986.748612762056,25306.0,28089.502833110346,0.077,,,,,,,,,,,,,,,6601.0,5632.0,,,,,,,,,,
SD,2000,755844.0,-1006.2923037028805,2480.009102407375,15583.242044654717,22743300000.0,13033.112652875461,26825.0,30089.939193801896,0.107,,,,,,,,,,,,,,,6883.0,6191.0,,,,,,,,,,
SD,2001,757972.0,-996.0790108341733,2450.090504662441,16078.298406801307,23412100000.0,13355.506535861483,27645.0,30887.81643649106,0.084,,,,,,,,,,,,,,,7232.0,6424.0,,,,,,,,,,
SD,2002,760020.0,-546.038262150996,2537.5648009262914,16704.691981789954,26322100000.0,15937.343754111735,27572.0,34633.430699192126,0.115,,,,,,,,,,,,,,,7413.0,6547.0,,,,,,,,,,
SD,2003,763729.0,-804.9975842216284,2647.1431620378435,17379.98688016299,27216100000.0,16413.675531503977,29972.0,35635.80798948318,0.127,,,,,,,,,,,,,,,8090.0,7068.0,,,,,,,,,,
