GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41000,Oregon,25015,26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39370,39787,42133,44693,45998,47982,50535,52462,56312
42000,Pennsylvania,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42268,44300,46022,46456,48394,50352,51700,53117,55924,57596,61700
44000,Rhode Island,25975,27552,28496,30417,31815,32807,34301,35927,36984,39028,40894,41638,40610,42805,44403,45978,45990,47937,49625,50320,52341,54158,56616,60825
45000,South Carolina,21728,22946,23764,25133,25737,26182,26832,27986,29285,30984,32402,33234,32010,32838,34406,35852,36005,37878,39698,40744,42296,43711,45455,48021
46000,South Dakota,22582,24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41417,44726,45384,45525,47374,49040,49018,50145,52346,54725,59281
47000,Tennessee,23267,25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35856,37751,39418,39519,40841,42648,43637,45134,47203,49009,51046
48000,Texas,23919,25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39029,42011,44193,44745,47273,47345,46445,49055,51813,53266,55129
49000,Utah,21288,22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32226,34232,36085,36628,38328,40668,42008,43711,46377,49115,52204
50000,Vermont,23999,25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41765,44150,45588,46224,48260,49662,50572,51839,53516,55396,59187
51000,Virginia,27360,28992,30637,32715,34001,34498,36188,38139,40167,42385,44248,45514,44087,45519,47638,49366,48654,50428,52379,53439,55181,56978,58738,61958
53000,Washington,27405,29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42352,44244,47357,47912,50966,53180,55038,57389,60352,63021,67126
54000,West Virginia,19587,20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32764,34594,35478,35354,36618,37529,37453,39258,41406,42500,44994
55000,Wisconsin,25429,27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39185,41262,43043,43194,44905,46800,47509,49105,51250,52918,55593
56000,Wyoming,24282,25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46638,50726,54104,53620,57530,57576,54522,56757,59910,61065,61855
91000,New England,30459,32428,34173,37349,38866,38787,39500,41530,43321,46440,48962,50954,50011,52000,53845,55445,55140,57505,60177,61822,63907,66684,69094,73179
92000,Mideast,29564,31226,32699,35160,36396,36620,37402,39230,40790,43447,46141,47272,46044,47653,49899,51820,52182,54282,56598,58379,61066,63521,65630,69791
93000,Great Lakes,26105,27599,28584,30305,31094,31343,32032,33200,34234,35922,37418,38544,37033,38254,40395,42082,42656,44452,46419,47274,48776,50940,52574,56052
94000,Plains,25021,26455,27319,29040,29932,30355,31506,33082,34179,36012,38061,40142,38687,39921,42554,44693,44996,46674,47973,48331,49585,51687,53279,56466
95000,Southeast,23580,24965,25835,27337,28249,28678,29638,31245,32954,34931,36345,37086,35601,36772,38357,39713,39581,41426,43129,43899,45684,47557,49325,52096
96000,Southwest,23217,24685,25525,27285,28479,28542,29360,30611,32715,35107,36448,38807,36249,37674,40243,42192,42793,45136,45316,44681,46967,49442,51016,53261
97000,Rocky Mountain,24306,25974,27101,29120,29975,29964,30609,31883,33761,36186,37979,38919,36485,37275,39726,41698,42770,45358,47049,47359,49615,52318,54720,57606
98000,Far West,27048,28870,30389,32775,33375,33472,34569,36387,38156,40828,42536,42945,40989,42358,44501,46958,47320,50056,53065,54895,57115,59774,62434,67447
